Site number ;Site location ;Province ;Latitude;Longitude
1A;Shakaskraal;KwaZulu-Natal;-29.4443;31.23997
2A;Shakaskraal;KwaZulu-Natal;-29.4524;31.21672
3A;R102;KwaZulu-Natal;-29.5048;31.18503
4A;Ballito ;KwaZulu-Natal;-29.5041;31.1944
4;Umzinto;KwaZulu-Natal;-30.1261;30.84441
5A;Eshowe;KwaZulu-Natal;-29.0121;31.57952
5;Hibberdene;KwaZulu-Natal;-30.5704;30.56809
6;Eshowe;KwaZulu-Natal;-29.0121;31.57952
12;Dube village;KwaZulu-Natal;-29.412;31.27277
14;Shibumi;KwaZulu-Natal;-30.6956;30.41586
17A;Amazimtoti;KwaZulu-Natal;-29.9855;30.93678
18;Port Edward;KwaZulu-Natal;-30.9659;30.21387
19A;Scottburgh ;KwaZulu-Natal;-29.9853;30.93679
19;R66;KwaZulu-Natal;-29.0166;31.58311
20;N2;KwaZulu-Natal;-30.0738;30.86943
25;Bendigo;KwaZulu-Natal;-30.6762;30.50448
26;Nelson;KwaZulu-Natal;-31.0518;30.20742
31;Nyalaza;KwaZulu-Natal;-28.2143;32.30701
32;Park Rynie;KwaZulu-Natal;-30.3039;30.66676
33;Mthunzini;KwaZulu-Natal;-29.0202;31.59032
34;Pietermaritzburg;KwaZulu-Natal;-29.80529;30.74637
35;Salt Rock;KwaZulu-Natal;-29.4786;31.21786
37;R61;KwaZulu-Natal;-31.0017;30.24849
38;Umzinto ;KwaZulu-Natal;-30.1261;30.84441
39;Durban rail;KwaZulu-Natal;-29.5294;31.16971
40;Wild coast ;KwaZulu-Natal;-31.084;30.18862
1;Onrus;Western Cape;-32.3186;18.40576
13;Magnolias;Western Cape;-33.9449;18.84668
15;Onrus;Western Cape;-34.4071;19.16236
16A;Napier;Western Cape;-32.3186;18.40576
2;Biscay road;Eastern Cape;-33.5314;26.88238
3;South down;Eastern Cape;-33.6165;26.87168
7;Word of truth;Eastern Cape;-33.5871;26.90543
11;Wilshire;Eastern Cape;-33.3055;26.50949
11A;Cause way;Eastern Cape;-33.5938;26.88705
27;Strand street;Eastern Cape;-33.5897;26.90413
28;Cause way ;Eastern Cape;-33.5938;26.88687
29;Word of truth;Eastern Cape;-33.5897;26.90408
30;West road;Eastern Cape;-33.5911;26.88248
6A;N2 ;Eastern Cape;-29.6261;31.12441
7A;Wilshire ;Eastern Cape;-33.3168;26.52654
8A;Market street;Eastern Cape;-33.3146;26.53056
9A;Currie street;Eastern Cape;-33.3021;26.53455
10A;York Street;Eastern Cape;-33.3138;26.5369
12A;Wilshire;Eastern Cape;-33.3051;26.50857
13A;Plumbridge drive;Eastern Cape;-33.2926;26.52554
17;Bhisho road;Eastern Cape;-32.8586;27.43221
21;Highfield;Eastern Cape;-32.9608;27.9354
22;Symtheland road;Eastern Cape;-32.9549;27.90663
23;Kenton road ;Eastern Cape;-33.6024;26.85664
