Number ,Latitude,Longitude,Grouping,,,,
WC-3693,-30.7292195,25.74705994,SESA,,,,
WC-DNA-0016,-32.57505556,26.94536111,SESA,,,,
WC-DNA-0027,-32.57505556,26.94536111,SESA,,,,
WC-DNA-0058,-32.56994444,26.93188889,SESA,,,,
WC-DNA-0050,-32.4265,26.65802778,SESA,,,,
WC-DNA-0076,-32.4265,26.65802778,SESA,,,,
WC-DNA-1272,-33.68027778,24.31083333,SESA,,,,
WC-DNA-1241,-25.149109,30.61938,NESA,,,,
WC-2639,-32.16473,26.4823,SESA,,,,
WC-2561,-32.18004,26.48972,SESA,,,,
WC-2564,-32.16,26.43982,SESA,,,,
WC-2690,-32.4375,27.28666667,SESA,,,,
MPU14-001,-27.252421,30.106626,NESA,,,,
WC-2861,-33.419744,23.537887,SWSA,,,,
WC-2859,-33.43308,23.56589,SWSA,,,,
WC-2776,-32.42718,26.65737,SESA,,,,
WC-4996,-31.41250,28.73290,SESA,,,,
WC-5094/PEM R22610,-32.28,22.33,SWSA,,,,
WC-5095,-32.2571249,22.505244,SWSA,,,,
WKST,-27.342871,30.130317,NESA,,,,
WC-10037,-27.742503,28.394185,NESA,,,,
WC-5156,-33.97503,25.51273,SESA,,,,
SG60,-33.319338,26.506667,SESA,,,,
SG61,-33.319338,26.506667,SESA,,,,
SG66,-33.32973,26.526078,SESA,,,,
SG67,-33.32973,26.526078,SESA,,,,
SG78,-33.327876,26.494661,SESA,,,,
BM1,-33.635849,18.420353,WSA,,,,
BM2,-33.635849,18.420353,WSA,,,,
BM3,-33.635849,18.420353,WSA,,,,
EI0531,-23.79189,29.96462,NESA,,,,
EI0534,-23.80184,29.95204,NESA,,,,
El0542,-23.80359,29.97685,NESA,,,,
CH3,-29.353306,29.976983,SESA,,,,
CK1,-34.087204,19.189268,SWSA,,,,
CK2,-32.860794,19.44344,SWSA,,,,
CK3,-34.356063,19.123018,SWSA,,,,
Hogs,-32.435228,27.069041,SESA,,,,
DP1 (DWP),-25.279444,30.155556,NESA,,,,
DP2 (DWP 173D),-25.288581,30.150675,NESA,,,,
DP3 (small),-25.259167,30.161111,NESA,,,,
DP5 (DWP 182),-25.240727,30.123882,NESA,,,,
AR1 (ARd00091),-34.01238,25.6614,SESA,,,,
AR2 (ARd00089),-34.01237,25.6611,SESA,,,,
AR3 (Ard00092),-34.01229,25.66183,SESA,,,,
AR4 (ARd106),-33.910019,23.639346,SESA,,,,
AR5 (ARD104),-32.441287,19.190821,SWSA,,,,
RS1 ,-33.479366,22.241561,SWSA,,,,
TP1,-29.193903,30.083598,SESA,,,,
TP2 (WC-DNA-1370),-29.193903,30.083598,SESA,,,,
SAJ28,-26.722546,27.805704,NESA,,,,
SAJ29,-26.722546,27.805704,NESA,,,,
SAJ30,-26.722546,27.805704,NESA,,,,
SAJ31,-26.722546,27.805704,NESA,,,,
BW4 (TGE T12-09),-34.387031,20.552934,SWSA,,,,
BW5 (TGE T12-07),-34.436032,20.751589,SWSA,,,,
BW6 (TGE T9-09),-32.536397,26.761616,SESA,,,,
SAJ36,-30.789126,27.980499,SESA,,,,
LK1,-27.33787,30.143301,NESA,,,,
LK2,-27.358613,30.111824,NESA,,,,
MR1,-26.357301,28.096407,NESA,,,,
TB1,-31.48304,19.76754,WSA,,,,
TB2,-29.967285,29.434821,SESA,,,,
CH51,-29.701973,29.494397,SESA,,,,
CH52,-29.701973,29.494397,SESA,,,,
CH53,-25.089982,30.562674,NESA,,,,
CH54,-32.250438,24.496562,SESA,,,,
R1 (ARd0010),-32.87343,19.035155,SWSA,,,,
CH55,-33.20794,18.086635,WSA,,,,
CH56,-33.20794,18.086635,WSA,,,,
CH57,-33.936316,18.864971,SWSA,,,,
1775 (MWR 070110),-33.845693,18.749027,SWSA,,,,
3961 (MBUR 00534),-31.606389,26.376667,SESA,,,,
3964 (MBUR 00595),-32.937495,24.654425,SWSA,,,,
3982 (MBUR 00528),-31.548811,26.559899,SESA,,,,
4833 (SVN-195),-32.229836,22.559816,SWSA,,,,
5310 (MBUR 00476),-30.380272,29.036255,SESA,,,,
5652 (MBUR 01661),-24.057214,30.089524,NESA,,,,
5611 (MBUR 01604),-24.057214,30.089524,NESA,,,,
5952 (SNB-001),-32.018401,24.214606,SWSA,,,,
10848 (MB20961),-32.078056,22.045278,SWSA,,,,
AC1,-34.48058,19.91822,SWSA,,,,
AC2,-34.48058,19.91822,SWSA,,,,
Ck6,-33.620988,18.410565,WSA,,,,
CK7,-33.620988,18.410565,WSA,,,,
DM1,-28.605725,16.485449,WSA,,,,
PJ1,-26.483601,28.2293,NESA,,,,
GB6 (CMRK234),-33.3,26.51,SESA,,,,
GB7 (PEMR5674),-32.720028,25.588005,SESA,,,,
GB10 ,-26.530162,28.273584,NESA,,,,
CK8 (WC6575),-30.33056,29.5184433,SESA,,,,
CK9,-25.970383,30.123031,NESA,,,,
CKD12,-32.094008,18.316656,WSA,,,,
CKD13,-32.094008,18.316656,WSA,,,,
A  TP3,-28.50912,28.625625,NESA,,,,
B  TP4,-28.500586,28.618103,NESA,,,,
C  TP5,-29.52924,30.20846,SESA,,,,
